title,tags
Meta Data Enrichment Internship (He/She/They),język angielski
Junior Data Analyst,Microsoft Office Excel | VBA | Scripting
Junior Data Analyst,MS Excel | SQL | Tableau
Associate Data Engineer- Junior,DBT | SQL
Junior/Mid DWH Developer for Support & Maintenance Team,SQL | T-SQL | Azure Data Factory
AI/ML Engineer,Python | Azure | GenAI
Data Scientist - Anti-Financial Crime/Banking  NOWA, Data |  Python |  Data science |  Spark
Data Analyst - Anti-Financial Crime/Banking  NOWA, Data |  Python |  Data science |  Git
Junior Data Engineer (Databricks), Data |  Python |  SQL |  ETL
Data Management Specialist,SQL | Python | Microsoft Power BI
Data Management Specialist,SQL | Python | Microsoft Power BI
Data Software Engineering Trainee,Python | Java | Scala | Linux | Docker | Kubernetes
Data Management Specialist,Python | SQL | Power BI | Tableau
Data Scientist - Anti-Financial Crime/Banking, Data |  Python |  Data science |  Spark
Data Analyst - Anti-Financial Crime/Banking, Data |  Python |  Data science |  Git
Data & BI Support Specialist,Databricks | AAS | Synapse Analytics | Azure Data Factory | Python | Scala | Azure Synapse | Microsoft Power BI | Microsoft SQL Server
Data & BI Support Specialist,Databricks | AAS | Synapse Analytics | Azure Data Factory | Python | Scala | Azure Synapse | Microsoft Power BI | Microsoft SQL Server
Junior Data Analyst,Excel | SQL | Python | Power BI | Google Data Studio
Junior Data Engineer (Databricks)  NOWA, Data |  Python |  SQL |  ETL
Junior AI Engineer - AI Tools Developer,Python
Junior Data Engineer (Spark), Data |  Python |  Spark |  SQL
Junior Data Engineer,SQL | Python
Data & BI Support Specialist,Databricks | AAS | Synapse Analytics | Azure Data Factory | Python | Scala | Azure Synapse | Microsoft Power BI | Microsoft SQL Server
ITS Academy of Excellence - Data Engineer Track,SQL | Python
Junior Data Engineer,SQL | Python
ITS Academy of Excellence - Data Engineer Track,SQL | Python
Letni płatny staż w dziale Data Analytics,Python | R | SQL | Microsoft Azure
Data Steward – Junior Consultant,Analiza Danych | Data Governance
📊 Data Steward – Junior Consultant with German,Analiza Danych | Data Governance
Junior Data Analyst,AI | Python | Microsoft Power BI
Meta Data Enrichment Internship (He/She/They),język angielski
Junior Data Engineer (Spark),Data Integration | SQL | Python
Data Software Engineering Trainee,Linux | Kubernetes | RDBMS
Junior Data Analyst,MS Excel | Tableau | SQL
Junior Data Engineer,SQL | Python | Data
AI/ML Engineer,Python | LLM/ML/AI | Databricks
Junior/Mid Python Developer,Python | Django | REST | Fast API | Docker | Jenkins | pytest | Microservices
Software Engineer II (Financial Platforms),Airflow | Aws | Python | Snowflake
Associate Data Architect (AWS),Aws | Cloud | Gcp | Java | Python | Scala | Sql
Lead Python Software Engineer,Agile | Aws | Docker | Python | Scrum | Testing
Middle Data Scientist,Ai | Cloud | Data science | Devops | Nlp | Python
Middle Big Data Engineer (GCP and Python),Aws | Bigdata | Cloud | Gcp | Mysql | Postgresql | Python | Sql
"Middle Big Data Engineer (GCP, Python)",Aws | Cloud | Gcp | Mysql | Postgresql | Python | Sql
Senior Big Data Engineer (Databricks),Aws | Azure | Cloud | Databricks | Devops | Etl | Gcp | Python | Sql
